premises,conclusion,label
"People in this club who perform in school talent shows often attend and are very engaged with school events.
People in this club either perform in school talent shows often or are inactive and disinterested community members.
People in this club who chaperone high school dances are not students who attend the school.
All people in this club who are inactive and disinterested members of their community chaperone high school dances.
All young children and teenagers in this club who wish to further their academic careers and educational opportunities are students who attend the school. 
Bonnie is in this club and she either both attends and is very engaged with school events and is a student who attends the school or is not someone who both attends and is very engaged with school events and is not a student who attends the school.",Bonnie performs in school talent shows often.,Uncertain
"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.",James has lunch in the company.,Uncertain
"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.",James does not have lunch in the company.,Uncertain
"All employees who schedule a meeting with their customers will go to the company building today. 
Everyone who has lunch in the company building schedules meetings with their customers. 
Employees have lunch either in the company building or at home.
If an employee has lunch at home, they are working remotely from home.
All employees who are in other countries work remotely from home. 
No managers work remotely from home. 
James will appear in the company today if and only if he is a manager.","If James is either a manager or in other countries,  then James does not either has lunch at home or work remotely from home. If James either has lunch at home or works remotely from home, then he is neither a manager nor does he work in other countries. [contrapositive is more natural]",True
"When the Monkeypox virus occurs in a being, it may get Monkeypox. 
Monkeypox virus can occur in certain animals.
Humans are mammals.
Mammals are animals.
Symptoms of Monkeypox include fever, headache, muscle pains, and tiredness. 
People feel tired when they get the flu.",There is an animal.,True
"When the Monkeypox virus occurs in a being, it may get Monkeypox. 
Monkeypox virus can occur in certain animals.
Humans are mammals.
Mammals are animals.
Symptoms of Monkeypox include fever, headache, muscle pains, and tiredness. 
People feel tired when they get the flu.",No one gets the flu.,Uncertain
"When the Monkeypox virus occurs in a being, it may get Monkeypox. 
Monkeypox virus can occur in certain animals.
Humans are mammals.
Mammals are animals.
Symptoms of Monkeypox include fever, headache, muscle pains, and tiredness. 
People feel tired when they get the flu.",Symptoms of Monkeypox include coughing.,Uncertain
"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.
Tom is not an Eastern wild turkey.
Tom is not an Osceola wild turkey.
Tom is not a Gould's wild turkey.
Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.
Tom is a wild turkey.",Tom is an Ocellated wild turkey.,True
"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.
Tom is not an Eastern wild turkey.
Tom is not an Osceola wild turkey.
Tom is not a Gould's wild turkey.
Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.
Tom is a wild turkey.",Tom is an Eastern wild turkey.,False
"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.
Tom is not an Eastern wild turkey.
Tom is not an Osceola wild turkey.
Tom is not a Gould's wild turkey.
Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.
Tom is a wild turkey.",Joey is a wild turkey.,Uncertain
"A Japanese game company created the game the Legend of Zelda.
All games on the Top 10 list are made by Japanese game companies.
If a game sells more than one million copies, then it will be included in the Top 10 list.
The Legend of Zelda sold more than one million copies.",The Legend of Zelda is on the Top 10 list.,True
"A Japanese game company created the game the Legend of Zelda.
All games on the Top 10 list are made by Japanese game companies.
If a game sells more than one million copies, then it will be included in the Top 10 list.
The Legend of Zelda sold more than one million copies.",FIFA 22 is made by a Japanese video game company.,Uncertain
"A Japanese game company created the game the Legend of Zelda.
All games on the Top 10 list are made by Japanese game companies.
If a game sells more than one million copies, then it will be included in the Top 10 list.
The Legend of Zelda sold more than one million copies.",The Legend of Zelda is not on the Top 10 list.,False
"All squares are four-sided.
All four-sided things are shapes.",All squares are shapes.,True
"All rabbits that can be spotted near the campus are cute. 
Some turtles can be spotted near the campus. 
The only animals that can be spotted near the campus are rabbits and squirrels.
If something is skittish, then it is not calm.
All the squirrels that can be spotted near the campus are skittish.
Rockie can be spotted near the campus, and it is calm.",Rockie is a turtle.,Uncertain
"All rabbits that can be spotted near the campus are cute. 
Some turtles can be spotted near the campus. 
The only animals that can be spotted near the campus are rabbits and squirrels.
If something is skittish, then it is not calm.
All the squirrels that can be spotted near the campus are skittish.
Rockie can be spotted near the campus, and it is calm.",Rockie is not a turtle.,Uncertain
"All rabbits that can be spotted near the campus are cute. 
Some turtles can be spotted near the campus. 
The only animals that can be spotted near the campus are rabbits and squirrels.
If something is skittish, then it is not calm.
All the squirrels that can be spotted near the campus are skittish.
Rockie can be spotted near the campus, and it is calm.",Rockie is a turtle or cute.,True
"All rabbits that can be spotted near the campus are cute. 
Some turtles can be spotted near the campus. 
The only animals that can be spotted near the campus are rabbits and squirrels.
If something is skittish, then it is not calm.
All the squirrels that can be spotted near the campus are skittish.
Rockie can be spotted near the campus, and it is calm.","If Rockie is cute and calm, then Rockie is a skittish turtle.",False
"""Stranger Things"" is a popular Netflix show.
If a Netflix show is popular, Karen will binge-watch it.
If and only if Karen binge-watches a Netflix show, she will download it.
Karen does not download ""Black Mirror.""
""Black Mirror"" is a Netflix show.
If Karen binge-watches a Netflix show, she will share it with Lisa.","Karen will share ""Stranger Things"" with Lisa.",True
"""Stranger Things"" is a popular Netflix show.
If a Netflix show is popular, Karen will binge-watch it.
If and only if Karen binge-watches a Netflix show, she will download it.
Karen does not download ""Black Mirror.""
""Black Mirror"" is a Netflix show.
If Karen binge-watches a Netflix show, she will share it with Lisa.","""Black Mirror"" is popular.",False
"""Stranger Things"" is a popular Netflix show.
If a Netflix show is popular, Karen will binge-watch it.
If and only if Karen binge-watches a Netflix show, she will download it.
Karen does not download ""Black Mirror.""
""Black Mirror"" is a Netflix show.
If Karen binge-watches a Netflix show, she will share it with Lisa.","Karen will share ""Black Mirror"" with Lisa.",Uncertain
"Beijing is the capital of the People's Republic of China. 
Beijing is the capital city of the world's most populous nation.
Beijing is located in Northern China.
Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games.
Beijing has hosted the Summer and Winter Olympics and the Summer and Winter Paralympics.
Many of Beijing's 91 universities consistently rank among the best universities in the world.",Beijing hosted both the 2008 Summer Olympics and the Winter Olympics.,True
"Beijing is the capital of the People's Republic of China. 
Beijing is the capital city of the world's most populous nation.
Beijing is located in Northern China.
Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games.
Beijing has hosted the Summer and Winter Olympics and the Summer and Winter Paralympics.
Many of Beijing's 91 universities consistently rank among the best universities in the world.",Beijing is located in southern China.,Uncertain
"Beijing is the capital of the People's Republic of China. 
Beijing is the capital city of the world's most populous nation.
Beijing is located in Northern China.
Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games.
Beijing has hosted the Summer and Winter Olympics and the Summer and Winter Paralympics.
Many of Beijing's 91 universities consistently rank among the best universities in the world.",Beijing is the second largest Chinese city.,Uncertain
"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.",Marvin is an alien.,Uncertain
"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.",Marvin is neither a human nor from Mars.,True
"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth, then Marvin is an extraterrestrial.","If Marvin is not from Mars, then Marvin is a human.",False
"Everyone at the mixer is a Grand Slam champion or an Oscar-nominated actor.
Every Grand Slam champion at the mixer is a professional tennis player.
All Oscar-nominated actors at the mixer are celebrities.
All professional tennis players at the mixer are athletes.
If a person at the mixer is a celebrity, then they are well paid.
If a person at the mixer is an athlete, then they are famous.
All well-paid people at the mixer live in tax havens.
Djokovic is at the mixer: if Djokovic is a famous athlete, then Djokovic is well-paid.",Djokovic is a Grand Slam champion.,Uncertain
"Everyone at the mixer is a Grand Slam champion or an Oscar-nominated actor.
Every Grand Slam champion at the mixer is a professional tennis player.
All Oscar-nominated actors at the mixer are celebrities.
All professional tennis players at the mixer are athletes.
If a person at the mixer is a celebrity, then they are well paid.
If a person at the mixer is an athlete, then they are famous.
All well-paid people at the mixer live in tax havens.
Djokovic is at the mixer: if Djokovic is a famous athlete, then Djokovic is well-paid.",Djokovic lives in a tax haven.,True
"Everyone at the mixer is a Grand Slam champion or an Oscar-nominated actor.
Every Grand Slam champion at the mixer is a professional tennis player.
All Oscar-nominated actors at the mixer are celebrities.
All professional tennis players at the mixer are athletes.
If a person at the mixer is a celebrity, then they are well paid.
If a person at the mixer is an athlete, then they are famous.
All well-paid people at the mixer live in tax havens.
Djokovic is at the mixer: if Djokovic is a famous athlete, then Djokovic is well-paid.",Djokovic does not live in a tax haven.,False
"Diamond Mine is a professional wrestling stable formed in WWE.
Roderick Strong leads Diamond Mine.
Diamond Mine includes the Creed Brothers and Ivy Nile.
Imperium has a feud with Diamond Mine.",Roderick Strong leads a professional wrestling stable.,True
"Diamond Mine is a professional wrestling stable formed in WWE.
Roderick Strong leads Diamond Mine.
Diamond Mine includes the Creed Brothers and Ivy Nile.
Imperium has a feud with Diamond Mine.",Roderick Strong leads the Creed Brothers.,Uncertain
"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Some orchestras premiered music pieces.,True
"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adores are evocative.
All of Kelly Wearstler's design styles that Max adores are dreamy.
If a design by Max that he adores has interesting geometries, then the design is a brutalist building and evocative.",A design by Max is a brutalist building.,Uncertain
"If someone is ranked highly by the Women's Tennis Association, then they are one of the most active players in major tennis. 
Everyone who lost to Iga Świątek at Roland Garros 2022 is ranked highly by the Women's Tennis Association.
All female tennis players at Roland Garros 2022 lost to Iga Świątek.
All tennis players at Roland Garros 2022 are either female or male.
All male tennis players at Roland Garros in 2022 lost to Rafael Nadal.
If Coco Gauff is ranked highly by the Women's Tennis Association or lost to Rafael Nadal, then Coco Gauff is not a male tennis player at Roland Garros 2022.
Coco Gauff is at Roland Garros 2022.",Coco Gauff has lost to Rafael Nadal.,Uncertain
"All cats are mammals.
Some pets are not mammals.",No pets are cats.,Uncertain
"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.",James's favorite season is summer.,True
"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.",Mia's favorite season is spring.,Uncertain
"No digital media are analog.
Every printed text is analog media.
All streaming services are digital media.
If an object is a hardcover book, then it is printed text.
If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is printed text.,Uncertain
"All Romance languages are Indo-European languages.
Romance languages are a language family.
All languages within a language family are related to each other.
French and Spanish are both Romance languages.
German is related to Spanish.
Basque is not related to any other language.",German is a Romance language.,Uncertain
"All Romance languages are Indo-European languages.
Romance languages are a language family.
All languages within a language family are related to each other.
French and Spanish are both Romance languages.
German is related to Spanish.
Basque is not related to any other language.",French is an Indo-European language.,True
"Robert Lewandowski is a striker.
Strikers are soccer players.
Robert Lewandowski left Bayern Munchen.
If a player leaves a team they no longer play for that team.",Robert Lewandowski is a soccer player.,True
"Robert Lewandowski is a striker.
Strikers are soccer players.
Robert Lewandowski left Bayern Munchen.
If a player leaves a team they no longer play for that team.",Robert Lewandowski plays for Bayern Munchen.,False
"Robert Lewandowski is a striker.
Strikers are soccer players.
Robert Lewandowski left Bayern Munchen.
If a player leaves a team they no longer play for that team.",Robert Lewandowski is a star.,Uncertain
"Billings is a city in the state of Montana in U.S.
The state of Montana includes the cities of Butte, Helena, and Missoula.
White Sulphur Springs and Butte are cities in the same state in U.S.
The city of St Pierre is not in the state of Montana.
Any city in Butte is not in St Pierre.
A city can only be in one state in U.S.  except for Bristol, Texarkana, Texhoma and Union City.",St Pierre and Bismarck are in the same state.,Uncertain
"Billings is a city in the state of Montana in U.S.
The state of Montana includes the cities of Butte, Helena, and Missoula.
White Sulphur Springs and Butte are cities in the same state in U.S.
The city of St Pierre is not in the state of Montana.
Any city in Butte is not in St Pierre.
A city can only be in one state in U.S.  except for Bristol, Texarkana, Texhoma and Union City.",Montana is home to the city of Missoula.,True
"International students in the US have either an F1 visa or a J1 visa.
An international student in the US with an F1 visa needs to apply for CPT or OPT if the student wants to work in the US.
Mike is an international student.
Mike needs to apply for CPT if he wants to work in the US.",Mike has an F1 visa.,Uncertain
"International students in the US have either an F1 visa or a J1 visa.
An international student in the US with an F1 visa needs to apply for CPT or OPT if the student wants to work in the US.
Mike is an international student.
Mike needs to apply for CPT if he wants to work in the US.",Mike has a J1 visa.,Uncertain
"All Brown Swiss cattle are cows.
Some pets are Brown Swiss Cattle.
All cows are domesticated animals.
Alligators are not domesticated animals.
Ted is an alligator.",Ted is a pet.,Uncertain
"All Brown Swiss cattle are cows.
Some pets are Brown Swiss Cattle.
All cows are domesticated animals.
Alligators are not domesticated animals.
Ted is an alligator.",Ted is a pet and Brown Swiss cattle,False
"All Brown Swiss cattle are cows.
Some pets are Brown Swiss Cattle.
All cows are domesticated animals.
Alligators are not domesticated animals.
Ted is an alligator.","If Ted is a Brown Swiss cattle, then Ted is not a pet.",True
"Yale University is a private Ivy League research university.
Yale University moved to New Haven in 1716.
Yale university's endowment was valued at $42.3 billion.
A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",A private Ivy League research university moved to New Haven.,True
"Yale University is a private Ivy League research university.
Yale University moved to New Haven in 1716.
Yale university's endowment was valued at $42.3 billion.
A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",Yale University has the largest university endowment of any educational institution.,Uncertain
"Badults is a British Sitcom series starring members of Pappy's.
Badults was piloted in July 2013 on BBC Three.
The Working title ""The Secret Dude Society"" was used for Badults.
Andrew Collins was the script editor for Badults.","Andrew Collins was the script editor for a series with the working title ""The Secret Dude Society"".",True
"All growth stocks are bought to earn profits from rapid price appreciation.
If the stock price is bought to earn profits from rapid price appreciation, then it is not suitable for a retirement fund.
Some stocks are growth stocks.
All mature stocks are suitable for a retirement fund.
KO is a mature stock.",KO is a stock.,Uncertain
"All vehicle registration plates in Istanbul begin with the number 34.
Plates that do not begin with the number 34 are not from Istanbul. 
Joe's vehicle registration plate is from Istanbul. 
Tom's license plate begins with the number 35. 
If a license plate begins with the number 35, then it does not begin with the number 34.",Joe's license plate begins with the number 34.,True
